ND1;ND2;VA;V1;V2;Vb;Vb-V1;Vb-V2;a1;a2;x1;x2;phi1;phi2
1.00E+16;1.60E+16;0.9;0.196103283;-0.71602281;0.222559726;0.026456442;0.938582536;0.37959397;0.37959397;5.90E-06;2.76E-05;0.368091015;0.380217108
1.00E+16;1.80E+16;0;0.196103283;0.180938388;0.538083147;0.341979864;0.35714476;#DIV/0!;#DIV/0!;2.11E-05;1.61E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.9;0.196103283;1.080938388;1.168180215;0.972076932;0.087241828;0.700107853;0.700107853;3.55E-05;8.04E-06;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.8;0.196103283;0.980938388;1.087864387;0.891761103;0.106925999;0.687226549;0.687226549;3.40E-05;8.88E-06;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.7;0.196103283;0.880938388;1.009828012;0.813724729;0.128889625;0.673921236;0.673921236;3.25E-05;9.72E-06;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.6;0.196103283;0.780938388;0.934182348;0.738079065;0.153243961;0.660165335;0.660165335;3.10E-05;1.06E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.5;0.196103283;0.680938388;0.861048007;0.664944724;0.18010962;0.64592972;0.64592972;2.94E-05;1.15E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.4;0.196103283;0.580938388;0.790556097;0.594452813;0.209617709;0.631182374;0.631182374;2.78E-05;1.23E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.3;0.196103283;0.480938388;0.722849547;0.526746264;0.24191116;0.615888;0.615888;2.62E-05;1.32E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.2;0.196103283;0.380938388;0.658084658;0.461981374;0.27714627;0.600007552;0.600007552;2.45E-05;1.42E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;-0.1;0.196103283;0.280938388;0.596432915;0.400329632;0.315494528;0.58349768;0.58349768;2.28E-05;1.51E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.1;0.196103283;0.080938388;0.483244078;0.287140795;0.402305691;0.548390692;0.548390692;1.93E-05;1.70E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.2;0.196103283;-0.019061612;0.432147395;0.236044111;0.451209007;0.529678763;0.529678763;1.75E-05;1.80E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.3;0.196103283;-0.119061612;0.385051448;0.188948165;0.504113061;0.510105664;0.510105664;1.57E-05;1.91E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.4;0.196103283;-0.219061612;0.342245756;0.146142473;0.561307369;0.489593477;0.489593477;1.38E-05;2.01E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.5;0.196103283;-0.319061612;0.304056539;0.107953255;0.623118151;0.468053217;0.468053217;1.19E-05;2.12E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.6;0.196103283;-0.419061612;0.270853579;0.074750296;0.689915192;0.445382613;0.445382613;9.89E-06;2.23E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.7;0.196103283;-0.519061612;0.243058834;0.04695555;0.762120446;0.421463305;0.421463305;7.85E-06;2.34E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.8;0.196103283;-0.619061612;0.221157357;0.025054073;0.840218969;0.396157238;0.396157238;5.74E-06;2.46E-05;0.341979864;0.35714476
1.00E+16;1.80E+16;0.9;0.196103283;-0.719061612;0.20571136;0.009608076;0.924772972;0.369301986;0.369301986;3.58E-06;2.58E-05;0.341979864;0.35714476
1.00E+16;2.00E+16;0;0.196103283;0.178220086;0.515509641;0.319406358;0.337289555;#DIV/0!;#DIV/0!;2.04E-05;1.48E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.9;0.196103283;1.078220086;1.158474943;0.962371659;0.080254857;0.71440589;0.71440589;3.53E-05;7.33E-06;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.8;0.196103283;0.978220086;1.076827229;0.880723945;0.098607143;0.701646984;0.701646984;3.38E-05;8.09E-06;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.7;0.196103283;0.878220086;0.997381047;0.801277763;0.119160961;0.688387722;0.688387722;3.23E-05;8.87E-06;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.6;0.196103283;0.778220086;0.920264023;0.72416074;0.142043937;0.674590637;0.674590637;3.07E-05;9.67E-06;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.5;0.196103283;0.678220086;0.845616614;0.649513331;0.167396528;0.660213946;0.660213946;2.90E-05;1.05E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.4;0.196103283;0.578220086;0.773593987;0.577490704;0.195373901;0.645210864;0.645210864;2.74E-05;1.13E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.3;0.196103283;0.478220086;0.704368272;0.508264988;0.226148186;0.629528768;0.629528768;2.57E-05;1.22E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.2;0.196103283;0.378220086;0.638131278;0.442027994;0.259911192;0.613108182;0.613108182;2.40E-05;1.30E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;-0.1;0.196103283;0.278220086;0.575097794;0.378994511;0.296877708;0.59588153;0.59588153;2.22E-05;1.39E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.1;0.196103283;0.078220086;0.459640685;0.263537402;0.381420599;0.558689563;0.558689563;1.85E-05;1.57E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.2;0.196103283;-0.021779914;0.407803119;0.211699836;0.429583033;0.53853261;0.53853261;1.66E-05;1.67E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.3;0.196103283;-0.121779914;0.360355424;0.164252141;0.482135338;0.517180723;0.517180723;1.46E-05;1.77E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.4;0.196103283;-0.221779914;0.317712584;0.1216093;0.539492498;0.494492643;0.494492643;1.26E-05;1.87E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.5;0.196103283;-0.321779914;0.280359401;0.084256118;0.602139315;0.47030048;0.47030048;1.05E-05;1.98E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.6;0.196103283;-0.421779914;0.248868143;0.052764859;0.670648056;0.444402498;0.444402498;8.31E-06;2.08E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.7;0.196103283;-0.521779914;0.223922364;0.02781908;0.745702278;0.416553254;0.416553254;6.05E-06;2.20E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.8;0.196103283;-0.621779914;0.206349795;0.010246512;0.828129709;0.386449808;0.386449808;3.69E-06;2.32E-05;0.319406358;0.337289555
1.00E+16;2.00E+16;0.9;0.196103283;-0.721779914;0.197168886;0.001065603;0.9189488;0.35371195;0.35371195;1.22E-06;2.44E-05;0.319406358;0.337289555
1.20E+16;1.00E+16;0;0.191399387;0.196103283;0.631517229;0.440117842;0.435413945;#DIV/0!;#DIV/0!;2.18E-05;2.38E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.9;0.191399387;1.096103283;1.181831484;0.990432097;0.085728201;0.611460284;0.611460284;3.27E-05;1.07E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.8;0.191399387;0.996103283;1.108247307;0.91684792;0.112144023;0.595912598;0.595912598;3.15E-05;1.22E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.7;0.191399387;0.896103283;1.037893599;0.846494212;0.141790316;0.580537672;0.580537672;3.03E-05;1.37E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.6;0.191399387;0.796103283;0.970716385;0.779316998;0.174613102;0.565331927;0.565331927;2.90E-05;1.51E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.5;0.191399387;0.696103283;0.906663176;0.715263789;0.210559893;0.550291895;0.550291895;2.78E-05;1.66E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.4;0.191399387;0.596103283;0.845682913;0.654283526;0.24957963;0.535414211;0.535414211;2.66E-05;1.81E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.3;0.191399387;0.496103283;0.787725913;0.596326525;0.291622629;0.520695613;0.520695613;2.54E-05;1.95E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.2;0.191399387;0.396103283;0.732743816;0.541344428;0.336640532;0.506132934;0.506132934;2.42E-05;2.09E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;-0.1;0.191399387;0.296103283;0.680689539;0.489290152;0.384586256;0.491723103;0.491723103;2.30E-05;2.24E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.1;0.191399387;0.096103283;0.585182215;0.393782828;0.489078932;0.463350136;0.463350136;2.07E-05;2.52E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.2;0.191399387;-0.003896717;0.541640971;0.350241583;0.545537687;0.44938129;0.44938129;1.95E-05;2.66E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.3;0.191399387;-0.103896717;0.50085107;0.309451682;0.604747786;0.435553864;0.435553864;1.83E-05;2.80E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.4;0.191399387;-0.203896717;0.462771149;0.271371762;0.666667866;0.421865198;0.421865198;1.72E-05;2.94E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.5;0.191399387;-0.303896717;0.427360873;0.235961486;0.73125759;0.408312711;0.408312711;1.60E-05;3.08E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.6;0.191399387;-0.403896717;0.394580895;0.203181508;0.798477612;0.394893889;0.394893889;1.49E-05;3.22E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.7;0.191399387;-0.503896717;0.364392827;0.17299344;0.868289544;0.381606288;0.381606288;1.37E-05;3.35E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.8;0.191399387;-0.603896717;0.336759204;0.145359817;0.940655921;0.36844753;0.36844753;1.26E-05;3.49E-05;0.440117842;0.435413945
1.20E+16;1.00E+16;0.9;0.191399387;-0.703896717;0.311643458;0.12024407;1.015540174;0.355415301;0.355415301;1.14E-05;3.63E-05;0.440117842;0.435413945
1.40E+16;1.00E+16;0;0.1874223;0.196103283;0.59454228;0.407119981;0.398438997;#DIV/0!;#DIV/0!;1.95E-05;2.28E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.9;0.1874223;1.096103283;1.145608737;0.958186437;0.049505453;0.612296063;0.612296063;2.98E-05;8.26E-06;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.8;0.1874223;0.996103283;1.069504547;0.882082248;0.073401264;0.593702834;0.593702834;2.86E-05;9.95E-06;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.7;0.1874223;0.896103283;0.99743164;0.81000934;0.101328357;0.575556228;0.575556228;2.74E-05;1.16E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.6;0.1874223;0.796103283;0.929244108;0.741821808;0.133140825;0.55783638;0.55783638;2.62E-05;1.33E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.5;0.1874223;0.696103283;0.864804639;0.677382339;0.168701356;0.540524717;0.540524717;2.51E-05;1.49E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.4;0.1874223;0.596103283;0.803983823;0.616561523;0.207880539;0.523603856;0.523603856;2.39E-05;1.65E-05;0.407119981;0.398438997
1.40E+16;1.00E+16;-0.3;0.1874223;0.496103283;0.746659529;0.55923723;0.250556246;0.507057497;0.507057497;2.28E-05;1.81E-05;0.407119981;0.398438997
